Consolidated Item List,,,,,,,,Commodity Type,Item Count,Item Type,Item Count
2783,2783 HEYCO,CC,700,500,0,Electrical & Wiring,Electrical Component,,,,
2850,2850 HEYCO  **ROHS COMPLIANT**,CC,700,250,0,Electrical & Wiring,Electrical Component,,,,
2865,HEYCO 2865,HEY,700,"15,390",0,Electrical & Wiring,Electrical Component,,,,
2871,HEYCO #2871 BUSHING,FE,700,507,0,Electrical & Wiring,Electrical Component,,,,
3046,3046 HEYCO,HEY,700,"2,000",0,Electrical & Wiring,Electrical Component,,,,
3207,HEYCO 3207 CABLE FITTING,HEYCO,700,"7,450",0,Electrical & Wiring,Wire / Cable,,,,
3231,LIQUID TIGHT FITTING LTF 1/2,HEY,700,"3,700",0,Hardware & Fittings,Fitting / Valve,,,,
3234,HEYCO 3234 LIQUID TIGHT,FE,700,3,0,Electrical & Wiring,Electrical Component,,,,
3314,"1/4"" WHITE WIRE CLAMP",FE,700,770,0,Electrical & Wiring,Wire / Cable,,,,
3348,3348 KEYSTONE FLAT WASHER,LEEJOH,700,"1,000",0,Fasteners,Washer,,,,
3638,HEYCO 3638,HEY,700,250,"5,000",Electrical & Wiring,Electrical Component,,,,
3847,3847 HEYCO PUSH MOUNT WIRE,HEY,700,250,0,Electrical & Wiring,Wire / Cable,,,,
4313,PIC 4-40X5/32 SHOULDER SCREW,ALPHA,800,"5,000",0,Fasteners,Screw,,,,
4327,4327 PIC 1/4 x 3/16 SLOT,ALPHA,700,"1,000",0,Fasteners,Screw,,,,
4760,HEYCO 4760,HEY,700,"1,830",0,Electrical & Wiring,Electrical Component,,,,
6607,DERMA LITE GLOVES MEDIUM,SASSAF,400,25,0,Miscellaneous/MRO,Safety / MRO,,,,
6623,3/8 D/C 2 SCR NMC CONN 6623,OCW,700,500,0,Electrical & Wiring,Connector,,,,
6624,3/4 D/C 2SCRW TOPAZ 952 ONLY,TOPAZ,704-BALB,"3,513","3,000",Hardware & Fittings,Hardware Component,,,,
6625,"1"" NM & SE ROUND CABLE CLAMP",TOPAZ,700,"3,000",0,Electrical & Wiring,Wire / Cable,,,,
8223,STANDOFF 4-40 X 1.125,WJRC,700,750,0,Fasteners,Spacer / Standoff,,,,
8414,KEYSTONE 6-32 X 1/2 1/4 HEX MF,HI-Q,700,150,0,Fasteners,Bolt,,,,
11403,1/4 HOOK AND EYE TURN BUCKLE,HMC,700,50,0,Hardware & Fittings,Fitting / Valve,,,,
12178,HEYCO 12178,HEY,700,5,0,Electrical & Wiring,Electrical Component,,,,
14225,7/16-20 X 9-16 SLOTTED SET,LUGS,700,20,0,Electrical & Wiring,Lug / Terminal,,,,
28861,1/4 M BSPT X 1/4 FIP ADAPTER,MIDLAN,700,0,"2,484",Hardware & Fittings,Fitting / Valve,,,,
33466,"RING TERMINAL NON-INSLTD,CRIMP",MOUSER,700,100,0,Electrical & Wiring,Lug / Terminal,,,,
36260,ROUND SPACER .115 ID X .188 OD,ESSENTRA,700,"6,000",0,Fasteners,Spacer / Standoff,,,,
38201,GROMMET RUBBER 2 HOLE PER,HULESQ,800,"1,650",0,Hardware & Fittings,Bushing / Grommet,,,,
44167,1-3/8 SCRATCH BRUSH 7-1/2 X,AIRGAS,400,17,200,Hardware & Fittings,Brush,,,,
50111,4-40X.226 BRASS THRDED INSERT,PENCOM,700,0,"9,850",Fasteners,Insert,,,,
57130,3/16 ROUND PUSH NUT PER ABCOR,IF,700,"31,000",0,Fasteners,Nut,,,,
65011,"CAM LOCK DISC TUMBLER 7/8""",EBERHARD,700,262,0,Hardware & Fittings,Hardware Component,,,,
66518,LARGE RAVEN GLOVES 6 MIL,SASSAF,400,60,0,Miscellaneous/MRO,Safety / MRO,,,,
66521,NITRILE POWDER FREE 4 MIL,SASSAF,400,4,0,Miscellaneous/MRO,Safety / MRO,,,,
66523,NITRILE POWDER FREE 4 MIL,SASSAF,400,3,0,Miscellaneous/MRO,Safety / MRO,,,,
78252,INS 51/6-32 / .150 EK,PPROD,700,800,0,Fasteners,Insert,,,,
78253,8-32 BRASS INSERT,PPROD,700,"2,000",0,Fasteners,Insert,,,,
81996,JC3/830/OMNI/IP65/LED,HAYWAR,700,180,0,Electrical & Wiring,Electrical Component,,,,
82143,JC10/RGBW/LED,HAYWAR,700,0,60,Electrical & Wiring,Electrical Component,,,,
91209,"5/16"" X 0.319 ID X 0.687 OD",QUALSE,700,"3,000",0,Fasteners,Screw,,,,
100265,100265 BALL BEARING 3/32,SALEMS,700,"14,000",0,Hardware & Fittings,Bearing,,,,
102124,1 1/2 WIRE CLAMP STEEL ZINC,HANGZHOU,901-HAYEND,"8,000","105,000",Electrical & Wiring,Wire / Cable,,,,
104901,104901 SPECIAL SEMI-TUBULAR,VFG,800,"95,260",0,Fasteners,Rivet,,,,
109588,109588 (A367-400),SWG,800,"23,798",0,Hardware & Fittings,Hardware Component,,,,
120202,.281 HOLE X 1.26 LONG X-MAS B,KINTL,700,"1,000",0,Hardware & Fittings,Hardware Component,,,,
152674,152674 BUMPER RUBBER 1/2 DIA,RLSEAL,700,871,0,Hardware & Fittings,Hardware Component,,,,
170782,"3/4 X 12"" BLACK ONE WRAP CABLE",HANGZHOU,902-CHAN,"11,500","20,000",Electrical & Wiring,Wire / Cable,,,,
202114,BNC MALE SHORTING CAP,FE,602,469,"1,000",Hardware & Fittings,Hardware Component,,,,
301050,"4 1/2' X 7/8"" HOLE, AOX FIBRE",CHAMPI,400,250,0,Fasteners,Screw,,,,
439210,"REDUCER BUSHING-1.5"" M X 3/4""",LASCO,700,0,300,Electrical & Wiring,Electrical Component,,,,
